# id, x, y, group_0, group_1, intens_0, intens_1, dissimil
2304400005079,1211635.82207,9579804.17386,60.865322056,31.880286272,60.865322056,31.880286272,8.83037146944e-05
2304400005081,1214578.71265,9577298.53866,56.3829787234,37.1914893617,56.3829787234,37.1914893617,0.000423498170236
2304400005083,1215046.50146,9575104.27774,61.1909114651,32.2016192217,61.1909114651,32.2016192217,9.55036148298e-05
2304400005084,1217392.23623,9576591.77115,61.1214953271,33.785046729,61.1214953271,33.785046729,0.000167667976688
2304400005088,1219688.25461,9575820.45976,55.0566185084,36.9777430691,55.0566185084,36.9777430691,0.000443032298831
2304400005089,1217905.3189,9572826.15109,55.8746736292,37.3368146214,55.8746736292,37.3368146214,0.000441122363261
2304400005090,1209964.20012,9576754.17407,68.8636363636,24.0340909091,68.8636363636,24.0340909091,0.000437047232981
2304400005094,1216388.70878,9582333.40056,55.466130114,36.4185110664,55.466130114,36.4185110664,0.000409107376139
2304400005098,1220997.5176,9578145.33504,61.2398921833,31.9676549865,61.2398921833,31.9676549865,8.39920234252e-05
2304400005101,1215291.07122,9581106.78556,55.606557377,39.0163934426,55.606557377,39.0163934426,0.000521931378608
2304400005103,1217536.91041,9580947.40666,53.4161490683,40.16563147,53.4161490683,40.16563147,0.000621211191231
2304400005105,1215439.01614,9579502.56543,54.2471042471,39.305019305,54.2471042471,39.305019305,0.000564603617843
2304400005106,1214972.91122,9583073.83765,67.5712971481,26.9089236431,67.5712971481,26.9089236431,0.000280465053199
2304400005107,1218290.19721,9578738.9305,56.7141208157,35.3212774144,56.7141208157,35.3212774144,0.000332802904534
2304400005109,1220051.59149,9580454.04141,58.4163898117,37.5968992248,58.4163898117,37.5968992248,0.000397018285376
2304400005116,1215107.90673,9573279.69686,66.255550074,27.4790330538,66.255550074,27.4790330538,0.000226192639478
2304400005118,1220325.84553,9571145.70649,68.0709534368,25.0,68.0709534368,25.0,0.000376580771459
2304459001001,1292548.47996,9502745.1354,68.2737693864,27.1072151045,68.2737693864,27.1072151045,0.000287014761916
2304509001001,963434.408122,9588089.84878,61.9606358819,32.5510976533,61.9606358819,32.5510976533,9.42249693502e-05
2304608001001,1117643.56134,9549540.30533,64.8282535075,28.1567489115,64.8282535075,28.1567489115,0.000164674617239
2304657001001,969221.676059,9551302.01722,61.6928738709,31.74974908,61.6928738709,31.74974908,6.4342259333e-05
2304707003001,932255.892739,9635102.712,70.4081632653,21.3151927438,70.4081632653,21.3151927438,0.000592199821768
2304707003002,968356.894007,9654997.31098,70.6467661692,21.4695752009,70.6467661692,21.4695752009,0.000590541735257
2304806001001,1135828.36088,9232179.98244,66.7976424361,29.5350360183,66.7976424361,29.5350360183,0.00014634741814
2304905001001,1014982.66795,9566096.02615,53.93369619,42.9985155863,53.93369619,42.9985155863,0.000736254111146
2304954001001,1203621.407,9543423.61361,69.3206404154,24.361748161,69.3206404154,24.361748161,0.0004324454309
2305001003001,950405.335772,9529651.66034,63.7818612922,31.1203319502,63.7818612922,31.1203319502,9.52342280319e-06
2305001003002,970487.343449,9536733.70913,67.2177609825,27.8696268304,67.2177609825,27.8696268304,0.000229855745465
2305100001001,1173040.77307,9528150.06606,68.9732142857,26.7857142857,68.9732142857,26.7857142857,0.00031668810447
2305209001001,1010605.83723,9507739.6185,61.9373519347,32.3242958673,61.9373519347,32.3242958673,8.46167672119e-05
2305233003001,1225104.62119,9546153.46919,63.658656204,32.0255026974,63.658656204,32.0255026974,3.35601353495e-05
2305233003002,1228162.97559,9542371.34709,65.4519368723,28.7230989957,65.4519368723,28.7230989957,0.000153076941384
2305266001001,1197271.20293,9468409.44599,69.5533980583,26.0582524272,69.5533980583,26.0582524272,0.000361859092769
2305308001001,943813.052965,9562202.05549,67.4339300938,28.3461210571,67.4339300938,28.3461210571,0.000213335294314
2305332001001,1215660.27491,9446573.6897,63.4295713036,34.6019247594,63.4295713036,34.6019247594,0.00015352540616
2305357001001,1343800.36451,9471679.051,55.7681641708,37.3821408763,55.7681641708,37.3821408763,0.000445478942857
2305407003001,1181823.73831,9275370.76584,59.819897084,35.1200686106,59.819897084,35.1200686106,0.000255756050511
2305407003002,1189510.88613,9291084.29201,64.697864607,31.5311222172,64.697864607,31.5311222172,1.12727393749e-05
2305506003001,1145534.56982,9296965.86852,67.1251719395,30.1237964237,67.1251719395,30.1237964237,0.00012725904545
2305506003002,1132369.0307,9295165.99454,48.309541698,48.1592787378,48.309541698,48.1592787378,0.0010897622302
2305506003003,1135511.35651,9284380.60517,72.0965309201,24.1327300151,72.0965309201,24.1327300151,0.000503502774253
2305506003004,1129586.79846,9288318.40749,51.3983371126,40.0604686319,51.3983371126,40.0604686319,0.000660744390326
2305506003005,1129867.25768,9291780.82607,52.4130773223,44.3175921121,52.4130773223,44.3175921121,0.000828431133761
2305506003006,1123598.43934,9296934.29745,60.5128205128,35.811965812,60.5128205128,35.811965812,0.000271437325558
2305605001001,1016586.74893,9392873.24177,53.6297985557,38.9205625238,53.6297985557,38.9205625238,0.00056098113884
2305654001001,965646.701907,9455814.58863,67.7333333333,26.7555555556,67.7333333333,26.7555555556,0.000290858799536
2305704001001,1192703.7388,9242799.12199,63.6326023997,33.760860571,63.6326023997,33.760860571,0.000111552326449
2305803003001,982873.720384,9522755.3874,58.4057230455,36.3311190598,58.4057230455,36.3311190598,0.000340780623553
2305803003002,979727.901077,9511297.21973,65.8045977011,30.4597701149,65.8045977011,30.4597701149,8.3326551866e-05
2305902003001,978442.510279,9493641.62147,66.9048927982,31.0060472787,66.9048927982,31.0060472787,8.30704359568e-05
2305902003002,951292.175421,9493080.7616,61.9918699187,31.7073170732,61.9918699187,31.7073170732,5.5896023124e-05
2306009001001,1239318.12229,9357093.76593,51.4043993232,38.578680203,51.4043993232,38.578680203,0.000594503093944
2306108001001,1076020.25438,9570769.60473,73.7789203085,22.5792630677,73.7789203085,22.5792630677,0.000609682446622
2306207001001,1293971.28728,9474413.47147,64.8,32.0421052632,64.8,32.0421052632,9.28570183284e-06
2306256003001,1220217.11502,9556325.64605,67.6565526146,25.6294383473,67.6565526146,25.6294383473,0.000339416508406
2306256003002,1217281.24385,9555017.12097,72.6419521351,20.6945096199,72.6419521351,20.6945096199,0.000668849497795
2306306003001,1103368.6559,9585323.49863,73.9162652834,22.8603186365,73.9162652834,22.8603186365,0.000600153675409
2306306003002,1102089.65125,9590682.34741,64.9018881896,30.4701962236,64.9018881896,30.4701962236,6.30764744286e-05
2306405003001,1101557.38994,9611512.68577,66.0260384377,27.7123372598,66.0260384377,27.7123372598,0.000210753749807
2306405003002,1091916.24997,9609285.78849,73.1257208766,21.8569780854,73.1257208766,21.8569780854,0.00062759008204
2306405003003,1113673.62185,9608890.17178,70.9124311084,24.6172688304,70.9124311084,24.6172688304,0.000455933350996
2306405003004,1102614.99857,9636948.14677,75.8195140764,18.6270728885,75.8195140764,18.6270728885,0.000830729490156
2306405003005,1107780.41912,9617535.3992,61.5464184122,32.3765192656,61.5464184122,32.3765192656,9.55148544364e-05
2306504001001,1172094.18123,9489089.46916,68.8075809424,21.0055277705,68.8075809424,21.0055277705,0.000570934804211
2306553003001,1068533.8677,9674511.88892,65.8919233004,23.881464265,65.8919233004,23.881464265,0.000378724673989
2306553003002,1068906.6289,9658409.65872,65.9574468085,25.5319148936,65.9574468085,25.5319148936,0.000306527654778
2306603001001,1103118.58338,9486538.5112,72.2587430976,20.0105180121,72.2587430976,20.0105180121,0.000690966166877
2306702001001,1193517.38966,9389629.46985,56.6470752869,34.1729638959,56.6470752869,34.1729638959,0.000283041561891
2306801001001,1217298.4992,9375207.22361,59.4230769231,34.2788461538,59.4230769231,34.2788461538,0.000226923011446
2306900003001,1192108.45102,9334202.8704,60.1108033241,36.08033241,60.1108033241,36.08033241,0.000292221337572
2306900003002,1213291.2233,9344213.08555,63.137254902,31.3235294118,63.137254902,31.3235294118,1.36700297536e-05
2307007003001,1295579.15755,9459407.15424,47.9151426481,46.817849305,47.9151426481,46.817849305,0.00103855991986
2307007003002,1310832.83064,9456633.51066,49.8958333333,42.3958333333,49.8958333333,42.3958333333,0.000797865005685
2307106001001,1136223.50802,9156076.07593,71.9213649852,20.8456973294,71.9213649852,20.8456973294,0.000646311114738
2307205001001,1164022.98829,9144702.02282,68.9506656226,28.4259984338,68.9506656226,28.4259984338,0.000243014350568
2307254001001,1001252.6367,9680818.15686,64.9518652226,32.972322503,64.9518652226,32.972322503,4.74578927463e-05
2307304005000,1132685.37443,9204086.65897,71.6084716657,24.0984544934,71.6084716657,24.0984544934,0.000494335014356
2307304005001,1127403.70697,9200994.51288,58.8318085855,37.9310344828,58.8318085855,37.9310344828,0.000402820532614
2307304005003,1129868.79263,9200019.58606,51.3496143959,41.2596401028,51.3496143959,41.2596401028,0.000715312030754
2307304005012,1132900.26752,9199136.14783,67.4932371506,27.5924256087,67.4932371506,27.5924256087,0.000248260471264
2307304005014,1129118.9584,9198745.05536,56.1962134251,36.5318416523,56.1962134251,36.5318416523,0.000398162068167
2307304005015,1130818.99381,9197706.49315,55.9132720105,35.7424441524,55.9132720105,35.7424441524,0.000369145233775
2307304005016,1128611.33583,9197388.75614,63.3815973844,30.92013078,64.0367702562,29.1152786601,0.000105854191983
